Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:11.21,"urn:cite:hmt:vaimg.VA137VN-0639@0.459,0.6246,0.433,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.22,"urn:cite:hmt:vaimg.VA137VN-0639@0.461,0.6411,0.372,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.23,"urn:cite:hmt:vaimg.VA137VN-0639@0.461,0.6607,0.403,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.24,"urn:cite:hmt:vaimg.VA137VN-0639@0.457,0.6749,0.395,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.25,"urn:cite:hmt:vaimg.VA137VN-0639@0.459,0.6944,0.388,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.26,"urn:cite:hmt:vaimg.VA138RN-0310@0.169,0.2177,0.416,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.27,"urn:cite:hmt:vaimg.VA138RN-0310@0.168,0.2387,0.403,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.28,"urn:cite:hmt:vaimg.VA138RN-0310@0.173,0.2583,0.355,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.29,"urn:cite:hmt:vaimg.VA138RN-0310@0.17,0.2763,0.39,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.30,"urn:cite:hmt:vaimg.VA138RN-0310@0.168,0.2973,0.394,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.31,"urn:cite:hmt:vaimg.VA138RN-0310@0.17,0.3176,0.38,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:11.32,"urn:cite:hmt:vaimg.VA138RN-0310@0.17,0.3311,0.429,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.33,"urn:cite:hmt:vaimg.VA138RN-0310@0.172,0.3536,0.408,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.34,"urn:cite:hmt:vaimg.VA138RN-0310@0.168,0.3694,0.386,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.35,"urn:cite:hmt:vaimg.VA138RN-0310@0.151,0.3919,0.43,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.36,"urn:cite:hmt:vaimg.VA138RN-0310@0.155,0.4122,0.42,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.37,"urn:cite:hmt:vaimg.VA138RN-0310@0.156,0.4287,0.415,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.38,"urn:cite:hmt:vaimg.VA138RN-0310@0.16,0.4497,0.426,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.39,"urn:cite:hmt:vaimg.VA138RN-0310@0.166,0.4692,0.431,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.40,"urn:cite:hmt:vaimg.VA138RN-0310@0.155,0.4872,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.41,"urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.5053,0.448,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.42,"urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.5248,0.423,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.43,"urn:cite:hmt:vaimg.VA138RN-0310@0.168,0.542,0.453,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.44,"urn:cite:hmt:vaimg.VA138RN-0310@0.163,0.5638,0.453,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.45,"urn:cite:hmt:vaimg.VA138RN-0310@0.156,0.5788,0.433,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.46,"urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.5991,0.406,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.47,"urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.6164,0.409,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.48,"urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.6359,0.456,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.49,"urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.6562,0.4,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.50,"urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.6727,0.394,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.51,"urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.2444,0.4168,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.52,"urn:cite:hmt:vaimg.VA138VN-0640@0.477,0.2669,0.4098,0.0226"
urn:cts:greekLit:tlg0012.tlg001.msA:11.53,"urn:cite:hmt:vaimg.VA138VN-0640@0.477,0.285,0.4539,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.54,"urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.3045,0.3948,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.55,"urn:cite:hmt:vaimg.VA138VN-0640@0.482,0.3211,0.4098,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:11.56,"urn:cite:hmt:vaimg.VA138VN-0640@0.4749,0.3414,0.4118,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:11.57,"urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.3579,0.4539,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.58,"urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.3782,0.3607,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.59,"urn:cite:hmt:vaimg.VA138VN-0640@0.4709,0.3992,0.4138,0.0226"
urn:cts:greekLit:tlg0012.tlg001.msA:11.60,"urn:cite:hmt:vaimg.VA138VN-0640@0.479,0.415,0.4088,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.61,"urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.4346,0.4379,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.62,"urn:cite:hmt:vaimg.VA138VN-0640@0.4729,0.4526,0.4088,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.63,"urn:cite:hmt:vaimg.VA138VN-0640@0.4649,0.4722,0.4499,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.64,"urn:cite:hmt:vaimg.VA138VN-0640@0.4709,0.4932,0.4509,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.65,"urn:cite:hmt:vaimg.VA138VN-0640@0.481,0.5098,0.4489,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.66,"urn:cite:hmt:vaimg.VA138VN-0640@0.4699,0.5293,0.4309,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.67,"urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.5481,0.3938,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.68,"urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.5624,0.4399,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.69,"urn:cite:hmt:vaimg.VA138VN-0640@0.4749,0.5805,0.4499,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.70,"urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.6008,0.4118,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.71,"urn:cite:hmt:vaimg.VA138VN-0640@0.481,0.6195,0.4038,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.72,"urn:cite:hmt:vaimg.VA138VN-0640@0.487,0.6353,0.4198,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.73,"urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.6549,0.4399,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.74,"urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.6759,0.4218,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.75,"urn:cite:hmt:vaimg.VA138VN-0640@0.487,0.6932,0.4158,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.76,"urn:cite:hmt:vaimg.VA139RN-0311@0.1884,0.2195,0.3808,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.77,"urn:cite:hmt:vaimg.VA139RN-0311@0.1824,0.2436,0.4228,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.78,"urn:cite:hmt:vaimg.VA139RN-0311@0.1844,0.2624,0.3958,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.79,"urn:cite:hmt:vaimg.VA139RN-0311@0.1794,0.2812,0.3918,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.80,"urn:cite:hmt:vaimg.VA139RN-0311@0.1804,0.303,0.4218,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.81,"urn:cite:hmt:vaimg.VA139RN-0311@0.1784,0.3195,0.4158,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:11.82,"urn:cite:hmt:vaimg.VA139RN-0311@0.1794,0.3376,0.4058,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.83,"urn:cite:hmt:vaimg.VA139RN-0311@0.1784,0.3594,0.4118,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:11.84,"urn:cite:hmt:vaimg.VA139RN-0311@0.1693,0.3767,0.3858,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:11.85,"urn:cite:hmt:vaimg.VA139RN-0311@0.1764,0.3992,0.4369,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.86,"urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.415,0.4008,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.87,"urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.4323,0.4198,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.88,"urn:cite:hmt:vaimg.VA139RN-0311@0.1733,0.4519,0.4339,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.89,"urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.4692,0.4228,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.90,"urn:cite:hmt:vaimg.VA139RN-0311@0.1774,0.4895,0.3898,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.91,"urn:cite:hmt:vaimg.VA139RN-0311@0.1764,0.5113,0.4279,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.92,"urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.5308,0.4409,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.93,"urn:cite:hmt:vaimg.VA139RN-0311@0.1723,0.5451,0.3968,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.94,"urn:cite:hmt:vaimg.VA139RN-0311@0.1713,0.5662,0.3988,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.95,"urn:cite:hmt:vaimg.VA139RN-0311@0.1754,0.5872,0.3948,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.96,"urn:cite:hmt:vaimg.VA139RN-0311@0.1683,0.6038,0.4309,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.97,"urn:cite:hmt:vaimg.VA139RN-0311@0.1683,0.6226,0.4028,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:11.98,"urn:cite:hmt:vaimg.VA139RN-0311@0.1643,0.6429,0.4589,0.0286"
urn:cts:greekLit:tlg0012.tlg001.msA:11.99,"urn:cite:hmt:vaimg.VA139RN-0311@0.1653,0.6624,0.4439,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.100,"urn:cite:hmt:vaimg.VA139RN-0311@0.1703,0.682,0.4259,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:11.101,"urn:cite:hmt:vaimg.VA139VN-0641@0.47,0.2485,0.396,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.102,"urn:cite:hmt:vaimg.VA139VN-0641@0.472,0.2725,0.385,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.103,"urn:cite:hmt:vaimg.VA139VN-0641@0.471,0.2898,0.416,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:11.104,"urn:cite:hmt:vaimg.VA139VN-0641@0.476,0.3056,0.431,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.105,"urn:cite:hmt:vaimg.VA139VN-0641@0.472,0.3258,0.344,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.106,"urn:cite:hmt:vaimg.VA139VN-0641@0.472,0.3438,0.417,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.107,"urn:cite:hmt:vaimg.VA139VN-0641@0.473,0.3626,0.389,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.108,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.3821,0.395,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.109,"urn:cite:hmt:vaimg.VA139VN-0641@0.472,0.4009,0.428,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.110,"urn:cite:hmt:vaimg.VA139VN-0641@0.476,0.4212,0.423,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.111,"urn:cite:hmt:vaimg.VA139VN-0641@0.476,0.4414,0.415,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.112,"urn:cite:hmt:vaimg.VA139VN-0641@0.478,0.4572,0.425,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.113,"urn:cite:hmt:vaimg.VA139VN-0641@0.473,0.4797,0.395,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:11.114,"urn:cite:hmt:vaimg.VA139VN-0641@0.476,0.4955,0.428,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.115,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.5143,0.42,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.116,"urn:cite:hmt:vaimg.VA139VN-0641@0.472,0.533,0.408,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.117,"urn:cite:hmt:vaimg.VA139VN-0641@0.473,0.5511,0.442,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.118,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.5698,0.438,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.119,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.5893,0.438,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.120,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.6096,0.425,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.121,"urn:cite:hmt:vaimg.VA139VN-0641@0.474,0.6299,0.407,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.122,"urn:cite:hmt:vaimg.VA139VN-0641@0.478,0.6449,0.438,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.123,"urn:cite:hmt:vaimg.VA139VN-0641@0.48,0.6667,0.378,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.124,"urn:cite:hmt:vaimg.VA139VN-0641@0.482,0.6817,0.41,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:11.125,"urn:cite:hmt:vaimg.VA139VN-0641@0.483,0.6997,0.416,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.126,"urn:cite:hmt:vaimg.VA140RN-0312@0.178,0.2027,0.411,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.127,"urn:cite:hmt:vaimg.VA140RN-0312@0.177,0.223,0.424,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.128,"urn:cite:hmt:vaimg.VA140RN-0312@0.181,0.2447,0.399,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.129,"urn:cite:hmt:vaimg.VA140RN-0312@0.178,0.2628,0.408,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.130,"urn:cite:hmt:vaimg.VA140RN-0312@0.176,0.2815,0.378,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.131,"urn:cite:hmt:vaimg.VA140RN-0312@0.172,0.2988,0.399,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.132,"urn:cite:hmt:vaimg.VA140RN-0312@0.172,0.3183,0.414,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.133,"urn:cite:hmt:vaimg.VA140RN-0312@0.171,0.3408,0.39,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.134,"urn:cite:hmt:vaimg.VA140RN-0312@0.168,0.3611,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.135,"urn:cite:hmt:vaimg.VA140RN-0312@0.171,0.3791,0.404,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.136,"urn:cite:hmt:vaimg.VA140RN-0312@0.167,0.3956,0.385,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.137,"urn:cite:hmt:vaimg.VA140RN-0312@0.165,0.4189,0.428,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.138,"urn:cite:hmt:vaimg.VA140RN-0312@0.169,0.4332,0.378,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.139,"urn:cite:hmt:vaimg.VA140RN-0312@0.168,0.452,0.384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.140,"urn:cite:hmt:vaimg.VA140RN-0312@0.162,0.4715,0.349,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.141,"urn:cite:hmt:vaimg.VA140RN-0312@0.166,0.4925,0.409,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.142,"urn:cite:hmt:vaimg.VA140RN-0312@0.164,0.5105,0.386,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.143,"urn:cite:hmt:vaimg.VA140RN-0312@0.161,0.5285,0.438,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:11.144,"urn:cite:hmt:vaimg.VA140RN-0312@0.162,0.5465,0.422,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:11.145,"urn:cite:hmt:vaimg.VA140RN-0312@0.164,0.5691,0.432,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.146,"urn:cite:hmt:vaimg.VA140RN-0312@0.157,0.5871,0.435,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.147,"urn:cite:hmt:vaimg.VA140RN-0312@0.162,0.6051,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.148,"urn:cite:hmt:vaimg.VA140RN-0312@0.16,0.6239,0.434,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.149,"urn:cite:hmt:vaimg.VA140RN-0312@0.152,0.6441,0.41,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.150,"urn:cite:hmt:vaimg.VA140RN-0312@0.155,0.6614,0.386,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:11.151,"urn:cite:hmt:vaimg.VA140VN-0642@0.493,0.2282,0.38,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.152,"urn:cite:hmt:vaimg.VA140VN-0642@0.488,0.2492,0.412,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.153,"urn:cite:hmt:vaimg.VA140VN-0642@0.49,0.2703,0.384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.154,"urn:cite:hmt:vaimg.VA140VN-0642@0.494,0.289,0.37,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:11.155,"urn:cite:hmt:vaimg.VA140VN-0642@0.491,0.3048,0.405,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.156,"urn:cite:hmt:vaimg.VA140VN-0642@0.493,0.3258,0.412,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.157,"urn:cite:hmt:vaimg.VA140VN-0642@0.492,0.3446,0.408,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.158,"urn:cite:hmt:vaimg.VA140VN-0642@0.492,0.3626,0.42,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.159,"urn:cite:hmt:vaimg.VA140VN-0642@0.492,0.3814,0.419,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.160,"urn:cite:hmt:vaimg.VA140VN-0642@0.494,0.4024,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.161,"urn:cite:hmt:vaimg.VA140VN-0642@0.495,0.4234,0.396,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.162,"urn:cite:hmt:vaimg.VA140VN-0642@0.499,0.4407,0.396,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.163,"urn:cite:hmt:vaimg.VA140VN-0642@0.493,0.4595,0.405,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.164,"urn:cite:hmt:vaimg.VA140VN-0642@0.494,0.4775,0.448,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.165,"urn:cite:hmt:vaimg.VA140VN-0642@0.498,0.497,0.421,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.166,"urn:cite:hmt:vaimg.VA140VN-0642@0.499,0.5165,0.393,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.167,"urn:cite:hmt:vaimg.VA140VN-0642@0.497,0.536,0.387,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.168,"urn:cite:hmt:vaimg.VA140VN-0642@0.503,0.5533,0.395,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.169,"urn:cite:hmt:vaimg.VA140VN-0642@0.494,0.5728,0.438,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.170,"urn:cite:hmt:vaimg.VA140VN-0642@0.5,0.5931,0.416,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.171,"urn:cite:hmt:vaimg.VA140VN-0642@0.499,0.6126,0.418,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.172,"urn:cite:hmt:vaimg.VA140VN-0642@0.498,0.6321,0.411,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.173,"urn:cite:hmt:vaimg.VA140VN-0642@0.504,0.6486,0.426,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.174,"urn:cite:hmt:vaimg.VA140VN-0642@0.499,0.6682,0.434,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.175,"urn:cite:hmt:vaimg.VA140VN-0642@0.502,0.6847,0.434,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.176,"urn:cite:hmt:vaimg.VA141RN-0313@0.17,0.2027,0.447,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.177,"urn:cite:hmt:vaimg.VA141RN-0313@0.167,0.2222,0.403,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.178,"urn:cite:hmt:vaimg.VA141RN-0313@0.173,0.244,0.407,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.179,"urn:cite:hmt:vaimg.VA141RN-0313@0.165,0.2605,0.433,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.180,"urn:cite:hmt:vaimg.VA141RN-0313@0.171,0.2793,0.407,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:11.181,"urn:cite:hmt:vaimg.VA141RN-0313@0.166,0.2973,0.43,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:11.182,"urn:cite:hmt:vaimg.VA141RN-0313@0.165,0.3168,0.395,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.183,"urn:cite:hmt:vaimg.VA141RN-0313@0.166,0.3363,0.379,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.184,"urn:cite:hmt:vaimg.VA141RN-0313@0.17,0.3536,0.428,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:11.185,"urn:cite:hmt:vaimg.VA141RN-0313@0.167,0.3769,0.368,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.186,"urn:cite:hmt:vaimg.VA141RN-0313@0.165,0.3941,0.426,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.187,"urn:cite:hmt:vaimg.VA141RN-0313@0.16,0.4114,0.428,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:11.188,"urn:cite:hmt:vaimg.VA141RN-0313@0.161,0.4317,0.446,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:11.189,"urn:cite:hmt:vaimg.VA141RN-0313@0.156,0.4535,0.423,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.190,"urn:cite:hmt:vaimg.VA141RN-0313@0.168,0.4707,0.418,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.191,"urn:cite:hmt:vaimg.VA141RN-0313@0.165,0.4895,0.393,0.0278"
