Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.οὕνεκα	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@οὕνεκα	οὕνεκα
urn:cite:perseus:lextoken.τὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@τὸν	τὸν
urn:cite:perseus:lextoken.Χρύσην	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@Χρύσην	Χρύσην
urn:cite:perseus:lextoken.ἠτίμασεν	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@ἠτίμασεν	ἠτίμασεν
urn:cite:perseus:lextoken.ἀρητῆρα	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@ἀρητῆρα	ἀρητῆρα
urn:cite:perseus:lextoken.Ἀτρεΐδης	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@Ἀτρεΐδης·	Ἀτρεΐδης
urn:cite:perseus:lextoken.ὃ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ὃ	ὃ
urn:cite:perseus:lextoken.γὰρ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@γὰρ	γὰρ
urn:cite:perseus:lextoken.ἦλθε	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ἦλθε	ἦλθε
urn:cite:perseus:lextoken.θοὰς	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@θοὰς	θοὰς
urn:cite:perseus:lextoken.ἐπὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ἐπὶ	ἐπὶ
urn:cite:perseus:lextoken.νῆας	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@νῆας	νῆας
urn:cite:perseus:lextoken.Ἀχαιῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@Ἀχαιῶν	Ἀχαιῶν
urn:cite:perseus:lextoken.λυσόμενός	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@λυσόμενός	λυσόμενός
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@τε	τε
urn:cite:perseus:lextoken.θύγατρα	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@θύγατρα	θύγατρα
urn:cite:perseus:lextoken.φέρων	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@φέρων	φέρων
urn:cite:perseus:lextoken.τ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@τ᾽	τ᾽
urn:cite:perseus:lextoken.ἀπερείσι᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@ἀπερείσι᾽	ἀπερείσι᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@ἄποινα,	ἄποινα
urn:cite:perseus:lextoken.στέμματ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@στέμματ᾽	στέμματ᾽
urn:cite:perseus:lextoken.ἔχων	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἔχων	ἔχων
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἐν	ἐν
urn:cite:perseus:lextoken.χερσὶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@χερσὶν	χερσὶν
urn:cite:perseus:lextoken.ἑκηβόλου	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἑκηβόλου	ἑκηβόλου
urn:cite:perseus:lextoken.Ἀπόλλωνος	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@Ἀπόλλωνος	Ἀπόλλωνος
urn:cite:perseus:lextoken.χρυσέῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@χρυσέῳ	χρυσέῳ
urn:cite:perseus:lextoken.ἀνὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@ἀνὰ	ἀνὰ
urn:cite:perseus:lextoken.σκήπτρῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@σκήπτρῳ,	σκήπτρῳ
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@καὶ	καὶ
urn:cite:perseus:lextoken.ἐλίσσετο	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@ἐλίσσετο	ἐλίσσετο
urn:cite:perseus:lextoken.πάντας	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@πάντας	πάντας
urn:cite:perseus:lextoken.Ἀχαιούς	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@Ἀχαιούς,	Ἀχαιούς
urn:cite:perseus:lextoken.Ἀτρεΐδα	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@Ἀτρεΐδα	Ἀτρεΐδα
urn:cite:perseus:lextoken.δὲ	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@δὲ	δὲ
urn:cite:perseus:lextoken.μάλιστα	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@μάλιστα	μάλιστα
urn:cite:perseus:lextoken.δύω	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@δύω,	δύω
urn:cite:perseus:lextoken.κοσμήτορε	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@κοσμήτορε	κοσμήτορε
urn:cite:perseus:lextoken.λαῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@λαῶν·	λαῶν
urn:cite:perseus:lextoken.Ἀτρεΐδαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@Ἀτρεΐδαι	Ἀτρεΐδαι
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@τε	τε
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@καὶ	καὶ
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.ἐϋκνήμιδες	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@ἐϋκνήμιδες	ἐϋκνήμιδες
urn:cite:perseus:lextoken.Ἀχαιοί	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@Ἀχαιοί,	Ἀχαιοί
urn:cite:perseus:lextoken.ὑμῖν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@ὑμῖν	ὑμῖν
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@μὲν	μὲν
urn:cite:perseus:lextoken.θεοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@θεοὶ	θεοὶ
urn:cite:perseus:lextoken.δοῖεν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@δοῖεν	δοῖεν
urn:cite:perseus:lextoken.Ὀλύμπια	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@Ὀλύμπια	Ὀλύμπια
urn:cite:perseus:lextoken.δώματ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@δώματ᾽	δώματ᾽
urn:cite:perseus:lextoken.ἔχοντες	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@ἔχοντες	ἔχοντες
urn:cite:perseus:lextoken.ἐκπέρσαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@ἐκπέρσαι	ἐκπέρσαι
urn:cite:perseus:lextoken.Πριάμοιο	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@Πριάμοιο	Πριάμοιο
urn:cite:perseus:lextoken.πόλιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@πόλιν,	πόλιν
urn:cite:perseus:lextoken.εὖ	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@εὖ	εὖ
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@δ᾽	δ᾽
urn:cite:perseus:lextoken.οἴκαδ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@οἴκαδ᾽	οἴκαδ᾽
urn:cite:perseus:lextoken.ἱκέσθαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@ἱκέσθαι·	ἱκέσθαι
urn:cite:perseus:lextoken.παῖδα	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@παῖδα	παῖδα
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἐμοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@ἐμοὶ	ἐμοὶ
urn:cite:perseus:lextoken.λύσαιτε	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@λύσαιτε	λύσαιτε
urn:cite:perseus:lextoken.φίλην	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@φίλην,	φίλην
urn:cite:perseus:lextoken.τὰδ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@τὰδ᾽	τὰδ᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@ἄποινα	ἄποινα
urn:cite:perseus:lextoken.δεχέσθαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@δεχέσθαι,	δεχέσθαι
urn:cite:perseus:lextoken.ἁζόμενοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@ἁζόμενοι	ἁζόμενοι
urn:cite:perseus:lextoken.Διὸς	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@Διὸς	Διὸς
urn:cite:perseus:lextoken.υἱὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@υἱὸν	υἱὸν
urn:cite:perseus:lextoken.ἑκηβόλον	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@ἑκηβόλον	ἑκηβόλον
urn:cite:perseus:lextoken.Ἀπόλλωνα	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@Ἀπόλλωνα.	Ἀπόλλωνα
urn:cite:perseus:lextoken.Ἔνθ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@Ἔνθ᾽	Ἔνθ᾽
