Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.ἐνὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@ἐνὶ	ἐνὶ
urn:cite:perseus:lextoken.οἴκῳ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@οἴκῳ	οἴκῳ
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@ἐν	ἐν
urn:cite:perseus:lextoken.Ἄργεϊ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@Ἄργεϊ	Ἄργεϊ
urn:cite:perseus:lextoken.τηλόθι	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@τηλόθι	τηλόθι
urn:cite:perseus:lextoken.πάτρης	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@πάτρης	πάτρης
urn:cite:perseus:lextoken.ἱστὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἱστὸν	ἱστὸν
urn:cite:perseus:lextoken.ἐποιχομένην	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἐποιχομένην	ἐποιχομένην
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@καὶ	καὶ
urn:cite:perseus:lextoken.ἐμὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἐμὸν	ἐμὸν
urn:cite:perseus:lextoken.λέχος	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@λέχος	λέχος
urn:cite:perseus:lextoken.ἀντιόωσαν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἀντιόωσαν·	ἀντιόωσαν
urn:cite:perseus:lextoken.ἀλλ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἀλλ᾽	ἀλλ᾽
urn:cite:perseus:lextoken.ἴθι	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἴθι	ἴθι
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@μή	μή
urn:cite:perseus:lextoken.μ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@μ᾽	μ᾽
urn:cite:perseus:lextoken.ἐρέθιζε	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἐρέθιζε	ἐρέθιζε
urn:cite:perseus:lextoken.σαώτερος	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@σαώτερος	σαώτερος
urn:cite:perseus:lextoken.ὥς	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ὥς	ὥς
urn:cite:perseus:lextoken.κε	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@κε	κε
urn:cite:perseus:lextoken.νέηαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@νέηαι.	νέηαι
